title,console,alcohol_reference,animated_blood,blood,blood_and_gore,cartoon_violence,crude_humor,drug_reference,fantasy_violence,intense_violence,language,lyrics,mature_humor,mild_blood,mild_cartoon_violence,mild_fantasy_violence,mild_language,mild_lyrics,mild_suggestive_themes,mild_violence,no_descriptors,nudity,partial_nudity,sexual_content,sexual_themes,simulated_gambling,strong_janguage,strong_sexual_content,suggestive_themes,use_of_alcohol,use_of_drugs_and_alcohol,violence,esrb_rating,Unnamed: 34,Unnamed: 35,Unnamed: 36,index,release_date,publishers,developers,rating,metascritic_score,users_score,genres
The Wonderful 101: Remastered,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,T,,,,2684,2020/05/19,PlatinumGames,PlatinumGames,T,85.0,6.2,"Action, GeneralAction, General"
Bayonetta,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,M,,,,312,2020/02/18,"PlatinumGames,Sega","PlatinumGames,Sega",M,81.0,7.1,"Action Adventure, LinearAction Adventure, Linear"
Vanquish,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,M,,,,2818,2020/02/18,"PlatinumGames,Sega","PlatinumGames,Sega",M,77.0,9.2,"Action, Shooter, Third-Person, ArcadeAction, Shooter, Third-Person, Arcade"
MLB The Show 20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,E,,,,1398,2020/03/13,Sony Interactive Entertainment,SCEA San Diego Studios,E,83.0,6.3,"Sports, Team, Baseball, Sim"
Resident Evil 3,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,M,,,,1979,2022/06/13,Capcom,M-Two,M,0.0,8.0,"Action Adventure, Survival"
-Klaus-,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,ET,,,,2,2019/01/23,La Cosa,La Cosa,,0.0,8.5,"Action, Platformer, 2D"
Sephirothic Stories,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,ET,,,,2137,2019/04/02,Kemco,Kemco,E10+,0.0,0.0,"Role-Playing, General, Japanese-Style"
Tamashii,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,M,,,,2434,2019/12/24,Digerati Distribution,Vikintor,M,0.0,0.0,"Puzzle, General"
Darksiders Genesis,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T,,,,593,2020/02/14,THQ Nordic,Airship Syndicate Entertainment,T,77.0,7.5,"Role-Playing, Action RPGRole-Playing, Action RPG"
Ikaruga,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ET,,,,1208,2018/06/29,Treasure,"Treasure, Zereo",E10+,0.0,7.0,"Action, Shooter, ""Shoot-Em-Up"", Vertical"
Real Heroes: Firefighter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ET,,,,1937,2020/02/25,Maximum Games,Maximum Games,E10+,0.0,0.0,"Simulation, Virtual, Career"
Mega Party: A Tootuff Adventure,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,T,,,,1477,TBA,,Microids,T,0.0,0.0,"Miscellaneous, Party / Minigame"
Marvel's Iron Man VR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,T,,,,1454,2020/07/03,Sony Interactive Entertainment LLC,"Camouflaj, LLC, Sony Interactive Entertainment",T,73.0,6.2,"Action, Simulation, Flight, General, Combat"
GALAK-Z: The Void,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ET,,,,963,2016/05/06,17-Bit,17-Bit,E10+,0.0,0.0,"Action, Shooter, ""Shoot-Em-Up"", VerticalAction, Shooter, ""Shoot-Em-Up"", Vertical"
Yakuza 5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,M,,,,2974,2015/12/08,Sega,Ryu ga Gotoku Studios,M,83.0,8.6,"Modern, Action Adventure, Open-World"
Daymare: 1998,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,M,,,,601,2020/04/28,All in! Games,Invader Studios,M,68.0,7.4,"Action Adventure, SurvivalAction Adventure, Survival"
Sakura Wars,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,T,,,,2110,2020/04/28,Sega,Sega,T,73.0,7.5,"Strategy, Turn-Based, Tactics, Action, ""Beat-Em-Up"", 3D"
House Flipper,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,E,,,,1169,2020/02/26,Frozen District,Empyrean,E,0.0,6.8,"Simulation, Virtual, Career"
Nioh 2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,M,,,,1661,2020/03/13,Koei Tecmo Games,Team Ninja,M,85.0,7.9,"Role-Playing, Action RPG"
ROMANCE OF THE THREE KINGDOMS XIV,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,ET,,,,1898,2020/12/24,Koei Tecmo Games,Koei Tecmo Games,E10+,58.0,7.3,"Strategy, Turn-Based, 4X"
Arc of Alchemist,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,ET,,,,214,2020/01/30,Idea Factory,Compile Heart,E10+,46.0,3.5,"Role-Playing, Action RPG"
Outer Wilds,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ET,,,,1732,2022/09/15,Annapurna Interactive,"Mobius Digital, LLC",,0.0,0.0,"Action Adventure, Open-World"
Doug Flutie's Maximum Football 2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,E,,,,707,2019/09/27,"Canuck Play Inc.,Canuck Play Inc. &amp; Spear Interactive.","Canuck Play Inc.,Canuck Play Inc., Canuck Play Inc. &amp; Spear Interactive.",E,0.0,3.3,"Sports, Team, Football, ArcadeSports, Team, Football, Arcade"
The Sims™ 4 Tiny Living,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,T,,,,2644,2020/02/04,Electronic Arts,Maxis,T,0.0,0.0,"Simulation, Virtual, Virtual Life"
Ys: Memories of Celceta,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,T,,,,2996,2020/06/09,XSEED Games,Falcom,,75.0,7.3,"Role-Playing, Action RPG"
Arcade Spirits,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,T,,,,226,2020/05/01,PQube,Fiction Factory Games,T,74.0,0.0,"Adventure, Visual NovelAdventure, Visual Novel"
Dreams,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T,,,,737,2020/02/14,Sony Interactive Entertainment,Media Molecule,T,89.0,8.7,"Miscellaneous, General, Action Adventure, Sandbox"
Gigantosaurus The Game ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E,,,,1016,2020/03/27,Outright Games,Cyber Group Studios,E,57.0,0.0,"Action Adventure, General"
Fallout 76 Wastelanders,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,M,,,,867,2020/04/16,Bethesda Softworks,Bethesda Game Studios,,69.0,5.8,"Role-Playing, Western-StyleRole-Playing, Western-Style"
FAIRY TAIL,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,T,,,,831,2020/07/31,Koei Tecmo Games,Gust,T,71.0,7.1,"Role-Playing, General"
Fu'un Super Combo,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,T,,,,952,2016/12/20,SNK Corporation,"SNK Playmore, SNK Corporation",T,0.0,0.0,"Miscellaneous, Compilation"
7 Days to Die,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,M,,,,27,TBA - Early Access,The Fun Pimps,The Fun Pimps,M,0.0,0.0,"Action, Action Adventure, Shooter, Survival, Sandbox, First-Person, Modern, Arcade"
Crypt of the NecroDancer,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T,,,,537,2017/02/10,Brace Yourself Games,Brace Yourself Games,T,83.0,7.6,"Action, Role-Playing, Rhythm, General, Action RPG, Music"
SuperEpic: The Entertainment War,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ET,,,,2377,2019/12/12,Numskull Games,"Undercoders,Numskull Games","T,E10+,E10+",0.0,5.6,"Action, Platformer, 2DAction, Platformer, 2DAction, Platformer, 2D"
1001 Spikes,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T,,,,4,2014/06/10,Nicalis,Nicalis,T,0.0,4.9,"Action, Platformer, 2D"
VA-11 HALL-A: Cyberpunk Bartender Action,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,M,,,,2798,2019/05/02,Ysbryd Games,Sukeban Games,M,83.0,7.1,"Simulation, General"
One Piece: Pirate Warriors 4 ,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,T,,,,1714,2020/03/27,Bandai Namco Games,Omega Force,T,76.0,7.3,"Action, ""Beat-Em-Up"", 3D"
ONE PUNCH MAN: A HERO NOBODY KNOWS,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,T,,,,1678,2020/02/28,Bandai Namco Games,Bandai Namco Games,T,59.0,4.0,"Action, Fighting, 2DAction, Fighting, 2DAction, Fighting, 2D"
FINAL FANTASY VII Remake,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,T,,,,847,2020/04/10,Square Enix,Square Enix,T,87.0,8.1,"Japanese-Style, Role-Playing, Action RPG"
Five Nights at Freddy's: Help Wanted,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T,,,,910,2020/10/30,Steel Wool Games,Steel Wool Games,,0.0,5.0,"Action Adventure, Survival"
Street Fighter V: Champion Edition,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,T,,,,2319,2020/02/14,Capcom,Capcom,T,82.0,7.5,"Action, Fighting, 2DAction, Fighting, 2D"
Remnant: From the Ashes,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,M,,,,1972,2021/05/13,Perfect World Entertainment,Gunfire Games,,0.0,7.6,"Action, Shooter, Third-Person, Arcade"
DOOM Slayers Collection,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,M,,,,566,2019/12/10,Bethesda Softworks,Bethesda Softworks,M,0.0,0.0,"Action, Miscellaneous, General, Compilation"
Azur Lane: Crosswave,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,T,,,,280,2020/02/13,Idea Factory,Felistella,T,56.0,6.9,"Action, Shooter, Third-Person, ArcadeAction, Shooter, Third-Person, Arcade"
Desperados III,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,M,,,,655,2020/06/16,THQ Nordic,Mimimi Productions,M,86.0,8.2,"Strategy, Real-Time, TacticsStrategy, Real-Time, TacticsStrategy, Real-Time, Tactics"
Monster Energy Supercross - The Official Videogame 3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,E,,,,1525,2020/02/04,Milestone S.r.l,Milestone S.r.l,E,74.0,7.4,"Racing, Arcade, AutomobileRacing, Arcade, AutomobileRacing, Arcade, Automobile"
MY HERO ONE'S JUSTICE 2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,T,,,,1408,2020/03/13,Bandai Namco Games,"Bandai Namco Games, BYKING. Inc,Bandai Namco Games,Bandai Namco Games",T,68.0,6.2,"Action, Fighting, 3DAction, Fighting, 3DAction, Fighting, 3D"
Ancestors: The Humankind Odyssey,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,T,,,,190,2019/12/06,Private Division,Panache Digital Games,T,72.0,6.0,"Action Adventure, General, SurvivalAction Adventure, General, Survival"
AVICII Invector,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T,,,,137,2019/12/10,Wired Productions,"Hello There Games,Wired Productions,Wired Productions",T,82.0,8.3,"Action, Rhythm, MusicAction, Rhythm, MusicAction, Rhythm, Music"
Super Blood Hockey,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,,,,2344,2019/06/07,Digerati Distribution,"Loren Lemcke, Kittehface Software",M,0.0,0.0,"Sports, Team, Ice Hockey, Arcade"
Granblue Fantasy: Versus,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,T,,,,1054,2020/03/13,Marvelous Inc.,Arc System Works,T,0.0,4.6,"Action, Fighting, 2D"
Need for Speed HEAT,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,T,,,,1619,2019/11/08,Electronic Arts,Ghost Games,T,74.0,6.5,"Racing, Arcade, AutomobileRacing, Arcade, AutomobileRacing, Arcade, Automobile"
Journey to the Savage Planet,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,T,,,,1262,2020/01/28,505 Games,Typhoon Studios,T,76.0,7.0,"Action Adventure, General, Open-WorldAction Adventure, General, Open-WorldAction Adventure, General, Open-World"
Polybius,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ET,,,,1823,2018/12/21,Llamasoft,Llamasoft,,0.0,0.0,"Action, Shooter, Rail"
Trials of Mana,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,T,,,,2749,2020/04/24,Square Enix,"Square Enix, Xeen",T,78.0,7.5,"Role-Playing, Action RPGRole-Playing, Action RPG"
Children of Zodiarcs,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T,,,,471,2020/03/27,Plug In Digital,Cardboard Utopia,,0.0,0.0,"Role-Playing, Japanese-Style"
Illusion of L'Phalcia,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,ET,,,,1209,2019/08/06,Limited Run Games,EXE Create,E10+,0.0,0.0,"Role-Playing, Japanese-Style"
Legend of the Tetrarchs,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,ET,,,,1342,2019/07/25,Kemco,"Hit-Point Co., Ltd.",,0.0,0.0,"Action, Role-Playing, General, Japanese-Style"
The Escapists,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,T,,,,2521,2015/12/18,Team17,Mouldy Toof Studios,T,0.0,8.3,"Action, General"
Worms Battlegrounds,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,ET,,,,2948,2014/06/03,Team17,Team17,E10+,62.0,5.9,"Strategy, Turn-Based, Wargame, Artillery"
DCL - The Game,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,E,,,,546,2020/02/18,"Drone Champions League,THQ Nordic,THQ Nordic",Drone Champions League,E,66.0,0.0,"Racing, Simulation, Arcade, OtherRacing, Simulation, Arcade, OtherRacing, Simulation, Arcade, Other"
Shovel Knight: Treasure Trove,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,E,,,,2175,2019/12/10,Yacht Club Games,Yacht Club Games,E,0.0,0.0,"Action, Platformer, 2D"
AO Tennis 2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E,,,,130,2020/02/11,Bigben Interactive,Big Ant Studios,E,69.0,6.1,"Sports, Individual, TennisSports, Individual, Tennis"
Costume Quest 2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ET,,,,515,2014/10/29,Midnight City,Double Fine Productions,E10+,65.0,7.0,"Role-Playing, Action RPG, Japanese-StyleRole-Playing, Action RPG, Japanese-Style"
Sniper Ghost Warrior Contracts,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,M,,,,2218,2019/11/22,CI Games,CI Games,M,71.0,6.7,"Action, Shooter, First-Person, TacticalAction, Shooter, First-Person, TacticalAction, Shooter, First-Person, Tactical"
Slayaway Camp: Butcher´s cut,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,,,,2206,2017/10/24,Digerati Distribution,"Blue Wizard Digital Ltd., Blue Wizard Digital",M,75.0,0.0,"Puzzle, Action"
DRAGON BALL Z: KAKAROT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,T,,,,571,2023/01/13,Bandai Namco Games,Bandai,T,0.0,0.0,"Role-Playing, Action RPG"
Astroneer,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E,,,,262,2019/11/15,Gearbox Publishing,System Era Softworks,E,0.0,6.9,"Action Adventure, Sandbox"
Jumanji The Video Game,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,T,,,,1267,2021/10/21,Outright Games,Outright Games,,0.0,0.0,"Action Adventure, General"
Star Wars Jedi: Fallen Order,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,T,,,,2279,2021/06/11,Electronic Arts,Respawn Entertainment,T,0.0,8.0,"Action Adventure, General"
The Sims™ 4 Discover University,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,T,,,,2611,2019/12/17,Electronic Arts,Maxis,T,81.0,4.8,"Simulation, Virtual, Virtual LifeSimulation, Virtual, Virtual LifeSimulation, Virtual, Virtual Life"
Garfield Kart: Furious Racing,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E,,,,988,2019/11/07,Microids,"Artefacts Studio, Artefacts Studios",E,0.0,8.3,"Racing, Arcade, Automobile"
Ghost Parade,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,ET,,,,1008,2019/10/31,Aksys Games,Lantera,E10+,0.0,0.0,"Action Adventure, General"
Offroad Racing - Buggy X ATV X Moto,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,E,,,,1691,2020/09/17,Microids,"Microids, Artefacts Studio",,0.0,0.0,"Racing, Arcade, Automobile"
The Unicorn Princess,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,E,,,,2667,2020/02/11,Maximum Games,Bigben Interactive,E,0.0,2.0,"Simulation, Virtual, Pet"
Ancestors Legacy,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,M,,,,187,2019/08/13,"Destructive Creations,1C Entertainment",Destructive Creations,M,74.0,7.2,"Strategy, Real-Time, General, CommandStrategy, Real-Time, General, Command"
Away: Journey to the Unexpected,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T,,,,274,2019/02/13,Playdius,Aurelien Regard Games,T,51.0,0.0,"Action, General, Shooter, First-Person, Arcade"
MechaNika,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,M,,,,1465,2019/11/05,Mango Protocol,Mango Protocol,M,0.0,7.8,"Adventure, Point-and-Click"
Valfaris,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,M,,,,2812,2019/11/15,Big Sugar,Steel Mantis,M,80.0,7.8,"Action, Platformer, 2D"
Alvastia Chronicles,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,ET,,,,180,2019/02/12,Kemco,Kemco,E10+,0.0,0.0,"Role-Playing, Japanese-Style"
Stranger Things 3: The Game,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,T,,,,2318,2019/07/04,Netflix,BonusXP,T,72.0,5.0,"Action Adventure, GeneralAction Adventure, GeneralAction Adventure, General"
Chronos: Before the Ashes,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T,,,,472,2020/12/01,THQ Nordic,Gunfire Games,T,71.0,5.9,"Action Adventure, GeneralAction Adventure, GeneralAction Adventure, General"
Mighty Switch Force! Collection,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,ET,,,,1497,2019/07/25,WayForward,WayForward,E10+,0.0,0.0,"Miscellaneous, Compilation"
Conception PLUS: Maidens of the Twelve Stars,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,M,,,,501,2019/11/05,Spike Chunsoft,Spike Chunsoft,M,62.0,4.4,"Role-Playing, Japanese-StyleRole-Playing, Japanese-Style"
Deliver Us The Moon,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T,,,,644,2022/06/23,Wired Productions,KeokeN Interactive,T,71.0,6.8,"Action Adventure, Adventure, General"
Golem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,T,,,,1041,2019/11/15,Perp Games,Highwire Games,T,59.0,6.8,"Action, Action Adventure, General"
Monkey King Hero is Back,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T,,,,1515,2019/10/17,THQ Nordic,"HexaDrive, Oasis Games",T,61.0,6.5,"Action, General"
The Lord of the Rings Living Card Game,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,ET,,,,2578,TBA - Early Access,Asmodee,Fantasy Flight Games,E10+,0.0,0.0,"Strategy, Turn-Based, Card Battle"
Blasphemous,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,M,,,,350,2019/09/10,The Game Kitchen,The Game Kitchen,M,82.0,7.8,"Action, Action Adventure, Platformer, Open-World, , MetroidvaniaAction, Action Adventure, Platformer, Open-World, , MetroidvaniaAction, Action Adventure, Platformer, Open-World, , Metroidvania"
GALAK-Z,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ET,,,,962,2015/08/04,17-Bit,17-Bit,E10+,82.0,7.1,"General, Shooter, Scrolling, Scrolling, Action, Shooter, ""Shoot-Em-Up"", Vertical"
Dusk Diver,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,T,,,,758,TBA - Early Access,JFi Games,JERA Game Studio,,0.0,0.0,"Action, Role-Playing, General, Action RPG"
Race with Ryan,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E,,,,1910,2019/11/01,Outright Games,"3d Clouds, 3DClouds,Outright Games, 3d Clouds, 3DClouds,Outright Games, 3d Clouds, 3DClouds",E,0.0,3.5,"Racing, Arcade, AutomobileRacing, Arcade, AutomobileRacing, Arcade, Automobile"
Siralim 3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,T,,,,2186,TBA - Early Access,Thylacine Studios,Thylacine Studios,,0.0,0.0,"Role-Playing, Japanese-Style"
Two Point Hospital,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ET,,,,2770,2020/02/25,Sega,Two Point Studios,E10+,84.0,7.1,"Simulation, Strategy, Management, Virtual, Career, Business / TycoonSimulation, Strategy, Management, Virtual, Career, Business / Tycoon"
